Date,Open,High,Low,Close,Volume,"Daily Change %"
10-Aug-2018,497,499.55,492.7,496.1,2534022,-0.18
10-Aug-2018,472.3,499.5,471.15,497.3,7475829,5.29
10-Aug-2018,466.65,474.7,464.1,472.25,1952199,1.20
10-Aug-2018,474.8,475.25,462.65,465.4,2977968,-1.98
10-Aug-2018,472.5,487,465.95,472.8,2507080,0.06
10-Aug-2018,490,491.8,469.1,472.9,1962459,-3.49
10-Aug-2018,492.35,495.5,487.2,489.25,2729850,-0.63
10-Aug-2018,497.1,500.1,492.8,496.55,1438175,-0.11
10-Aug-2018,499.2,502.8,493.4,499.7,2334856,0.10
10-Aug-2018,493,500,491.1,498.75,1469508,1.17
10-Aug-2018,490,499,490,494.1,1701291,0.84
10-Aug-2018,482.6,493,482.6,489.6,1200242,1.45
10-Aug-2018,494,496.2,479.7,482.6,1932859,-2.31
10-Aug-2018,478,497.75,478,493.85,2242785,3.32
10-Aug-2018,485.95,487.5,475.5,476.8,1527038,-1.88
10-Aug-2018,500,501,482.5,484.55,2140643,-3.09
10-Aug-2018,499,502,488.2,499.9,1376234,0.18
10-Aug-2018,486,499.45,485,496.55,1718584,2.17
10-Aug-2018,491,495,481.4,487.9,1426995,-0.63
10-Aug-2018,487,502,486.8,490.1,2140262,0.64
10-Aug-2018,496,497.75,483.85,491,1871915,-1.01
10-Aug-2018,492,496,486.85,490.25,1803442,-0.36
10-Aug-2018,474.85,492.15,474.1,489.9,3566147,3.17
10-Aug-2018,462,478.45,461.05,470.5,4208801,1.84
10-Aug-2018,462,466.5,458.1,460.45,1701924,-0.34
10-Aug-2018,469,473.75,461.1,463.45,1278344,-1.18
10-Aug-2018,481.5,481.95,460.9,467.95,5545465,-2.81
10-Aug-2018,484.95,498,472.45,488.5,3983511,0.73
10-Aug-2018,486,486.6,476.2,482.05,1509095,-0.81
10-Aug-2018,474.05,488.5,474.05,485.55,3746798,2.43
10-Aug-2018,480,480,472,476.4,1292782,-0.75
10-Aug-2018,469,479.9,462,477.25,2859405,1.76
10-Aug-2018,455,474.1,454,468.1,1583314,2.88
10-Aug-2018,463.4,463.8,453.1,454.8,850860,-1.86
10-Aug-2018,457,465,453.7,463.1,1319264,1.33
10-Aug-2018,456.1,460,456.1,458.35,128310,0.49
10-Aug-2018,472.35,472.4,457.65,458.45,1414945,-2.94
10-Aug-2018,471.05,475.2,468.95,473,787447,0.41
10-Aug-2018,474.85,476.7,470.75,473.8,1101381,-0.22
10-Aug-2018,465.5,475,465.5,474.2,1762764,1.87
10-Aug-2018,474.4,479.9,472.95,476.1,2187256,0.36
10-Aug-2018,464,469.9,461.6,467.25,1624889,0.70
10-Aug-2018,463,467.8,461.4,466.3,1559112,0.71
10-Aug-2018,454,464,454,463.3,997113,2.05
10-Aug-2018,454.4,458.1,447,456.85,1130586,0.54
10-Aug-2018,464.5,464.7,448.55,450.95,1237068,-2.92
10-Aug-2018,465.05,468.5,463.35,465.05,1673214,0.00
10-Aug-2018,456.8,466.8,456,463.3,1901932,1.42
10-Aug-2018,454,459.35,449.55,457.85,1412345,0.85
10-Aug-2018,449,458,443.7,449.95,1908788,0.21
10-Aug-2018,450,458.35,447.35,454.45,3555144,0.99
10-Aug-2018,452,454.15,441.5,447.35,886702,-1.03
10-Aug-2018,455.25,462.45,449.15,451.95,2490162,-0.72
10-Aug-2018,457.5,464.25,453,458.4,2254484,0.20
10-Aug-2018,449,461.7,448.7,460.25,2189490,2.51
10-Aug-2018,450,450,445,448.9,755469,-0.24
10-Aug-2018,445.9,449,442.5,447.75,1001757,0.41
10-Aug-2018,437.35,447.9,437.35,444.3,1959478,1.59
10-Aug-2018,444,451.35,443.3,445.1,1034355,0.25
10-Aug-2018,441.15,453.7,437.3,440.8,2339372,-0.08
10-Aug-2018,441,443,436.1,441.4,1048243,0.09
10-Aug-2018,443,443.95,434,441.4,1357481,-0.36
10-Aug-2018,435,442.5,433.8,441.5,2373479,1.49
10-Aug-2018,426.05,431.7,426.05,430.8,1434311,1.11
10-Aug-2018,426.5,429.9,423.15,426.05,983408,-0.11
10-Aug-2018,425.1,427.2,421,424.6,1553072,-0.12
10-Aug-2018,418.7,430.6,418.05,427.85,3651996,2.19
10-Aug-2018,425,428.7,410.55,416.1,3250373,-2.09
10-Aug-2018,429,430.25,422.6,423.4,1242275,-1.31
10-Aug-2018,434,436,425.05,425.75,2380800,-1.90
10-Aug-2018,428.25,432.5,426.2,428.15,3782413,-0.02
10-Aug-2018,429.95,433.95,423,431.75,3282938,0.42
10-Aug-2018,427.15,436,426.45,427.75,1888194,0.14
10-Aug-2018,440,444.25,427.5,430.2,1576891,-2.23
10-Aug-2018,432,438,425.6,427.7,2607190,-1.00
10-Aug-2018,434,442.75,432.2,439.35,4623000,1.23
10-Aug-2018,429,437,429,431.1,2657468,0.49
10-Aug-2018,420.7,436.4,420.7,428.85,3610728,1.94
10-Aug-2018,425.2,430.05,421.55,424.4,3175256,-0.19
10-Aug-2018,402.2,425.9,400,419.95,5407314,4.41
10-Aug-2018,405.5,412.75,401,402.8,2782291,-0.67
10-Aug-2018,404,408,400,402.2,1213339,-0.45
10-Aug-2018,393,413.7,393,404,4990849,2.80
10-Aug-2018,400,400.35,392.8,393.85,1135609,-1.54
10-Aug-2018,407,409.45,396.65,398.25,2108254,-2.15
10-Aug-2018,408.3,414.9,404.2,406.35,1312508,-0.48
10-Aug-2018,407.6,411.45,406.3,409,1957230,0.34
10-Aug-2018,404,408.5,401.05,407.15,4650231,0.78
10-Aug-2018,402.6,406.4,396.5,402.05,4071990,-0.14
10-Aug-2018,405,413.9,400.05,402.45,12617014,-0.63
10-Aug-2018,381.2,386.55,379.3,385.85,1535812,1.22
10-Aug-2018,379.25,383.45,374.25,381.3,1712222,0.54
10-Aug-2018,385,387.05,375.75,377.25,2627365,-2.01
10-Aug-2018,392.1,393.8,386.65,389.35,1409292,-0.70
10-Aug-2018,399,400.5,390.05,391.1,1358932,-1.98
10-Aug-2018,395,399.95,394.95,399.05,906007,1.03
10-Aug-2018,393.5,398,392.85,394.7,964314,0.30
10-Aug-2018,398.7,400.95,390,391.5,1411026,-1.81
10-Aug-2018,392,398,390.7,396.75,1590684,1.21
10-Aug-2018,389.5,398.2,389.3,391.85,1534113,0.60
10-Aug-2018,391.8,396.35,390.15,391.3,1584011,-0.13
10-Aug-2018,390,393,385.55,388.95,1034584,-0.27
10-Aug-2018,388,391,387.3,389.25,940852,0.32
10-Aug-2018,387,389.6,384.65,387.3,687924,0.08
10-Aug-2018,384.9,393.3,383.15,385.2,2362955,0.08
10-Aug-2018,399,399,369.3,384.1,270762,-3.73
10-Aug-2018,375,380.7,375,380,1642197,1.33
10-Aug-2018,376.5,379.45,373.1,376.3,1964709,-0.05
10-Aug-2018,379.25,381,376.2,377.15,1461628,-0.55
10-Aug-2018,382,384.05,376.35,377.7,1328251,-1.13
10-Aug-2018,382.05,385.25,378.4,381.25,1280684,-0.21
10-Aug-2018,387,387,377.4,382,2365394,-1.29
10-Aug-2018,380.75,394,380,392.25,1883908,3.02
10-Aug-2018,392.25,396,388,388.85,1631484,-0.87
10-Aug-2018,380.7,384.6,378.7,380.1,4315500,-0.16
10-Aug-2018,388.55,389.7,379.85,380.7,1741413,-2.02
10-Aug-2018,392.1,394.75,386,386.95,918944,-1.31
10-Aug-2018,395,396.9,390,390.95,1121823,-1.03
10-Aug-2018,389.4,395.2,385.65,394.35,1458439,1.27
10-Aug-2018,390,393.3,386.6,389.45,992872,-0.14
10-Aug-2018,392,396,388,390.3,1473093,-0.43
10-Aug-2018,396,396.5,392,393.65,1244822,-0.59
10-Aug-2018,395,400,392,396.7,1895223,0.43
